ID	type	longitude	latitude
D	d	0	80
S	f	0	0
C1	c	6.728	7.310048
C2	c	4.966432	6.3688
C3	c	12.693728	8.748416
C4	c	3.01712	1.60864
C5	c	7.30896	5.858592
C6	c	10.234912	3.28656
C7	c	-1.103008	2.142336
C8	c	5.235904	4.23776
C9	c	-3.269792	9.128
C10	c	5.151104	4.522944
C11	c	11.835168	8.608576
C12	c	9.909984	6.263104
C13	c	6.919936	1.262656
C14	c	3.725632	9.351168
C15	c	0.94896	5.54672
C16	c	6.433216	11.183392
C17	c	0.1432	3.862336
C18	c	-0.672192	1.006368
C19	c	12.957568	4.1944
C20	c	1.797344	2.514304
C21	c	5.82368	6.079904
C22	c	10.799232	12.024992
C23	c	-2.35456	-0.458016
C24	c	2.603552	4.85312
C25	c	6.325504	5.653984
C26	c	1.812672	3.64
C27	c	8.164896	7.690848
C28	c	4.619232	6.296928
C29	c	9.707936	0.686912
C30	c	1.679168	6.166304
C31	c	2.290208	-1.077568
C32	c	0.445024	2.299136
C33	c	9.675488	7.938432
C34	c	-1.36896	4.903392
C35	c	4.467328	-1.453344
C36	c	13.24464	5.026144
C37	c	10.642272	2.9384
C38	c	6.529056	-0.112864
C39	c	-0.37472	-0.807008
C40	c	13.382272	2.506144
C41	c	6.182688	5.63696
C42	c	12.71632	1.62224
C43	c	9.52928	4.57568
C44	c	5.270304	0.121312
C45	c	7.0384	9.575744
C46	c	13.803936	5.471648
C47	c	-2.186592	0.626144
C48	c	-0.582432	-1.45152
C49	c	9.29056	11.655008
C50	c	15.05504	4.982624
C51	c	3.97488	-1.316736
C52	c	3.09456	9.80416
C53	c	10.672512	5.286016
C54	c	8.852736	9.580832
C55	c	-0.06928	0.583136
C56	c	-0.093376	10.71712
C57	c	-0.872608	3.281088
C58	c	4.655712	3.218464
C59	c	5.235648	4.438752
C60	c	13.811936	6.42048
C61	c	-0.753632	8.816736
C62	c	-1.244032	7.572576
C63	c	10.223136	1.73952
C64	c	2.642944	7.006304
C65	c	-1.176448	0.84816
C66	c	-1.407168	8.8088
C67	c	6.344608	3.558784
C68	c	-0.034912	4.883456
C69	c	-0.719712	12.140096
C70	c	4.43024	10.433568
C71	c	13.60096	1.877888
C72	c	3.6216	1.20896
C73	c	-2.352448	9.359936
C74	c	3.51264	-1.615872
C75	c	-0.287008	8.78032
C76	c	6.48848	8.008064
C77	c	11.580672	3.279552
C78	c	-1.768288	11.529632
C79	c	4.848512	3.162016
C80	c	1.183552	9.485088
C81	c	-3.479488	-0.81776
C82	c	6.305408	7.152352
C83	c	-0.813472	4.535392
C84	c	1.410048	6.679328
C85	c	9.831872	1.244192
C86	c	1.000608	9.027104
C87	c	12.556	4.121056
C88	c	1.244672	-1.986208
C89	c	-1.908256	0.003264
C90	c	7.71424	10.294752
C91	c	5.965856	2.410208
C92	c	-1.220512	1.1368
C93	c	-3.920768	0.184992
C94	c	13.64528	5.157728
C95	c	-1.711776	1.16336
C96	c	-2.538976	-1.889184
C97	c	-0.681888	4.31776
C98	c	4.584128	4.928608
C99	c	11.026656	5.164768
C100	c	1.216256	2.072416
C101	c	5.707616	7.6424
C102	c	8.806112	2.501984
C103	c	10.61136	5.43408
C104	c	-0.907424	5.86336
C105	c	15.163072	3.445216
C106	c	0.308928	4.67136
C107	c	3.383392	5.169536
C108	c	2.64304	6.156256
C109	c	0.353984	9.069856
C110	c	2.168512	6.55648
C111	c	9.16432	10.42304
C112	c	-0.993728	10.26976
C113	c	2.808448	9.3688
C114	c	7.459744	4.347552
C115	c	14.52464	3.454752
C116	c	7.714432	9.12512
C117	c	11.37456	10.260224
C118	c	14.541344	7.197664
C119	c	0.328704	2.742272
C120	c	4.25008	5.059392
C121	c	2.133376	2.424608
C122	c	12.925184	4.3384
C123	c	10.683712	-0.069248
C124	c	4.528224	-0.666304
C125	c	4.296992	10.960608
C126	c	3.101056	2.008576
C127	c	7.808064	5.700992
C128	c	13.259104	8.52528
C129	c	1.147168	2.163808
C130	c	4.097856	0.248448
C131	c	5.340256	5.65056
C132	c	12.46128	5.146752
C133	c	6.391168	6.018976
C134	c	2.708192	-0.145824
C135	c	2.424	4.724768
C136	c	8.814784	4.489792
C137	c	11.294688	3.526752
C138	c	9.1448	2.780096
C139	c	7.660704	6.059136
C140	c	5.782688	0.03424
C141	c	11.690144	7.019488
C142	c	3.744192	-1.47968
C143	c	-0.512416	8.110912
C144	c	-3.451424	1.309536
C145	c	7.562592	1.046784
C146	c	4.023648	6.5688
C147	c	3.948928	4.780672
C148	c	10.18448	10.30672
C149	c	6.32304	5.983296
C150	c	-1.00032	1.714624
C151	c	6.32576	5.7472
C152	c	2.514944	6.255232
C153	c	2.763328	0.169568
C154	c	6.57408	6.895584
C155	c	4.372	10.954112
C156	c	2.300352	7.495488
C157	c	13.619584	4.908768
C158	c	2.76288	2.765984
C159	c	6.6344	5.05536
C160	c	13.078816	9.850144
C161	c	-1.092224	1.983232
C162	c	1.5904	6.958688
C163	c	7.18256	6.579232
C164	c	1.520096	1.429696
C165	c	-3.332288	1.016928
C166	c	7.802112	2.219328
C167	c	-0.752096	10.585472
C168	c	4.589376	10.109472
C169	c	4.308384	7.67616
C170	c	0.939424	7.294912
C171	c	6.951072	1.404256
C172	c	0.748352	10.577728
C173	c	14.995968	3.526016
C174	c	5.106112	6.893472
C175	c	10.368544	2.37232
C176	c	8.37712	8.007168
C177	c	0.463456	9.957984
C178	c	7.415776	3.947424
C179	c	0.089696	8.244768
C180	c	-1.580896	2.896384
C181	c	3.638592	-1.5592
C182	c	4.729344	2.371744
C183	c	-3.264512	0.481888
C184	c	5.924576	7.546368
C185	c	3.705824	-0.653344
C186	c	14.071168	8.223104
C187	c	9.682016	11.627776
C188	c	5.474016	8.76272
C189	c	1.201184	7.826144
C190	c	7.911584	5.866624
C191	c	1.45504	2.71936
C192	c	4.861952	7.055776
C193	c	2.170752	8.576032
C194	c	-2.761408	9.385888
C195	c	-3.798976	-0.532096
C196	c	14.115456	8.136128
C197	c	7.624736	3.112768
C198	c	6.68448	2.606784
C199	c	3.789184	4.002016
C200	c	1.948032	0.742208
C201	c	6.792512	10.521888
C202	c	8.184096	7.817504
C203	c	-1.974816	1.670464
C204	c	-2.491712	-1.195008
C205	c	3.8648	-0.438624
C206	c	2.844768	3.109536
C207	c	11.75184	9.224768
C208	c	1.207264	4.536576
C209	c	4.390336	5.167168
C210	c	4.115712	6.051008
C211	c	8.839616	6.830304
C212	c	9.905888	0.858208
C213	c	3.20352	9.359744
C214	c	-1.98976	9.367072
C215	c	-2.864544	2.50208
C216	c	0.92624	6.08096
C217	c	8.40304	6.82656
C218	c	9.009376	4.943616
C219	c	-3.192	2.306112
C220	c	-1.371456	0.16352
C221	c	10.665824	2.580288
C222	c	9.794944	9.883904
C223	c	0.972608	12.36528
C224	c	10.628704	-0.23808
C225	c	2.912768	6.625344
C226	c	1.148	-0.133952
C227	c	7.318272	1.977792
C228	c	0.326016	2.357888
C229	c	5.889792	6.252224
C230	c	14.039456	7.285088
C231	c	-3.488416	-0.23312
C232	c	4.39872	7.688128
C233	c	12.788704	7.256448
C234	c	8.010112	3.014208
C235	c	6.888672	2.37776
C236	c	8.81296	1.997888
C237	c	4.678304	3.33824
C238	c	9.69344	7.860384
C239	c	6.005088	7.001728
C240	c	1.147232	-0.529696
