ID	type	longitude	latitude
D	d	0	80
S	f	0	0
C1	c	-8.421696	7.881952
C2	c	4.821728	0.973408
C3	c	0.575776	7.876448
C4	c	7.620832	10.216576
C5	c	-1.889344	4.974144
C6	c	-2.50848	9.815712
C7	c	3.87296	6.723968
C8	c	9.81424	5.5808
C9	c	4.643936	-1.6384
C10	c	1.164672	5.45088
C11	c	3.502048	5.256448
C12	c	-5.625504	11.074176
C13	c	2.942848	6.385472
C14	c	5.855776	3.845792
C15	c	7.902592	0.80752
C16	c	-4.83184	8.726592
C17	c	-0.14896	7.431936
C18	c	-2.635712	4.90928
C19	c	-6.172	-0.42432
C20	c	-8.199136	-0.309088
C21	c	-3.9512	9.609152
C22	c	5.600224	4.41088
C23	c	8.152288	1.059392
C24	c	-8.833184	-1.77168
C25	c	2.727936	6.066272
C26	c	6.94848	8.060736
C27	c	1.39152	10.511136
C28	c	-0.135936	5.530944
C29	c	10.447296	3.83408
C30	c	-5.834304	-2.902784
C31	c	3.663232	3.59104
C32	c	-5.008736	-0.521024
C33	c	5.990304	1.251936
C34	c	-0.888192	4.277312
C35	c	-3.355552	-0.588832
C36	c	8.481152	2.565376
C37	c	-1.750688	2.72416
C38	c	2.857024	-0.31248
C39	c	2.349728	3.84576
C40	c	-6.143584	3.635328
C41	c	-6.871456	6.168736
C42	c	-2.211488	0.929792
C43	c	5.761504	5.56144
C44	c	0.350944	-1.641696
C45	c	-5.906048	-2.681056
C46	c	2.292864	7.724192
C47	c	-2.473952	8.172768
C48	c	1.046112	1.3816
C49	c	-5.986688	6.884192
C50	c	-0.678816	1.035136
C51	c	6.837056	10.762784
C52	c	3.50928	3.552832
C53	c	2.731616	6.62224
C54	c	-6.918816	4.186528
C55	c	-2.061504	4.002336
C56	c	5.281696	7.452224
C57	c	1.460704	6.16144
C58	c	5.254304	5.575264
C59	c	6.557216	8.908032
C60	c	3.43888	1.767776
C61	c	-5.915008	6.94976
C62	c	4.525344	6.254912
C63	c	2.435168	6.33248
C64	c	7.875392	4.855392
C65	c	6.174656	5.3048
C66	c	-2.417696	5.854912
C67	c	-4.284608	2.00864
C68	c	-3.178016	6.92448
C69	c	1.133344	3.135744
C70	c	-3.03952	11.265824
C71	c	1.805696	9.634016
C72	c	-0.041504	2.93024
C73	c	2.340576	2.917344
C74	c	-0.22592	0.093632
C75	c	-4.610592	4.96976
C76	c	9.954592	3.563552
C77	c	-6.229536	8.483552
C78	c	-0.05424	3.564352
C79	c	4.067424	3.361152
C80	c	-1.99328	9.369536
C81	c	5.18896	0.287232
C82	c	-4.492	4.170944
C83	c	5.999904	9.59568
C84	c	-3.861376	-0.714496
C85	c	4.938144	2.348704
C86	c	-7.243488	8.85328
C87	c	-5.645664	1.343488
C88	c	-2.969536	2.740896
C89	c	-8.2376	-1.70432
C90	c	-5.91408	6.924128
C91	c	6.09744	-0.972384
C92	c	3.844416	-1.70496
C93	c	-8.533312	-1.817824
C94	c	-8.892672	-1.342336
C95	c	-3.051744	9.641664
C96	c	-8.648064	5.32832
C97	c	-3.389696	10.643392
C98	c	4.97488	6.481728
C99	c	0.796416	4.83264
C100	c	-3.09552	8.080224
C101	c	-0.93088	7.00592
C102	c	6.653376	7.948704
C103	c	6.578592	4.702368
C104	c	-0.010272	2.55424
C105	c	7.575456	10.14192
C106	c	-6.712192	6.3144
C107	c	-7.458464	1.870048
C108	c	7.584544	4.45104
C109	c	-0.624864	-2.463776
C110	c	-4.602432	9.536032
C111	c	-7.996448	7.682016
C112	c	-8.57536	5.187008
C113	c	0.3952	4.484064
C114	c	-2.865312	9.736448
C115	c	-6.223136	8.263552
C116	c	4.241664	0.14896
C117	c	0.130368	4.764704
C118	c	3.990944	1.675008
C119	c	-5.157952	0.415264
C120	c	-1.770336	2.935488
C121	c	5.25232	7.520768
C122	c	-1.061632	-2.814976
C123	c	5.622144	9.860992
C124	c	-2.559424	9.666592
C125	c	9.416128	4.861664
C126	c	-1.172384	10.057856
C127	c	-7.205056	8.888704
C128	c	-0.84032	4.957056
C129	c	5.617536	-0.572288
C130	c	2.138592	-0.735808
C131	c	2.910432	3.02096
C132	c	0.046368	1.634464
C133	c	0.26464	5.68592
C134	c	-5.137408	-0.784096
C135	c	-3.086848	2.795456
C136	c	-3.35584	7.92784
C137	c	3.035872	3.0928
C138	c	-4.698336	9.153632
C139	c	6.916128	10.217184
C140	c	3.132192	9.77744
C141	c	-1.8464	7.551744
C142	c	-2.795648	9.72768
C143	c	-6.604128	6.281344
C144	c	-0.174464	3.763904
C145	c	-2.01376	2.344928
C146	c	-2.381184	5.4184
C147	c	-6.106432	7.6472
C148	c	5.65168	3.104864
C149	c	6.743008	7.979296
C150	c	9.908352	4.417664
C151	c	2.79728	7.929632
C152	c	-7.431584	0.1064
C153	c	-3.458112	4.323808
C154	c	-3.38368	10.437952
C155	c	7.525184	-0.032192
C156	c	4.382048	-0.476352
C157	c	-5.504	11.196992
C158	c	-8.680576	-1.224128
C159	c	-3.021504	6.649248
C160	c	-3.13856	6.890112
C161	c	-2.46512	4.943264
C162	c	1.399744	1.895104
C163	c	4.525152	6.943264
C164	c	3.562176	7.38288
C165	c	2.456896	-0.013632
C166	c	-2.790912	1.641056
C167	c	-3.543488	2.424224
C168	c	6.99616	0.970048
C169	c	7.022112	2.452064
C170	c	6.290688	7.819392
C171	c	-3.7952	2.088224
C172	c	4.683232	5.68352
C173	c	4.603264	3.360064
C174	c	-2.031968	6.342368
C175	c	1.071552	9.05808
C176	c	-6.52608	1.408128
C177	c	-2.210944	-1.03632
C178	c	6.679488	-1.189952
C179	c	-0.499008	3.7192
C180	c	-0.259584	4.286528
C181	c	-5.401088	10.512128
C182	c	-3.732	3.409632
C183	c	6.655424	6.437152
C184	c	-1.16752	7.968576
C185	c	2.225408	4.501312
C186	c	1.424128	2.933088
C187	c	0.629056	6.207488
C188	c	-1.76816	1.998432
C189	c	2.153792	4.093632
C190	c	1.798144	6.101248
C191	c	0.036576	5.16
C192	c	7.763872	7.539616
C193	c	-1.912736	0.39984
C194	c	2.379104	4.649792
C195	c	5.305056	2.07776
C196	c	-6.032864	0.933536
C197	c	0.306048	3.02896
C198	c	-8.199648	7.9192
C199	c	0.221248	3.314144
C200	c	6.905312	7.399776
